42001,2026.7.29,I Go To Pieces,Peter And Gordon,Hot 100 Pop Reference,US/Global,1965,Billboard Hot 100 archive,9,billboard_hot100_bulk_backfill,low
42002,2026.7.29,Just Once In My Life,The Righteous Brothers,Hot 100 Pop Reference,US/Global,1965,Billboard Hot 100 archive,9,billboard_hot100_bulk_backfill,low
42003,2026.7.29,I Fought The Law,Bobby Fuller Four,Hot 100 Pop Reference,US/Global,1966,Billboard Hot 100 archive,9,billboard_hot100_bulk_backfill,low
42004,2026.7.29,Guantanamera,The Sandpipers,Hot 100 Pop Reference,US/Global,1966,Billboard Hot 100 archive,9,billboard_hot100_bulk_backfill,low
42005,2026.7.29,A Place In The Sun,Stevie Wonder,Hot 100 Pop Reference,US/Global,1966,Billboard Hot 100 archive,9,billboard_hot100_bulk_backfill,low
42006,2026.7.29,I Can See For Miles,The Who,Hot 100 Pop Reference,US/Global,1967,Billboard Hot 100 archive,9,billboard_hot100_bulk_backfill,low
42007,2026.7.29,This Girl Is A Woman Now,Gary Puckett And The Union Gap,Hot 100 Pop Reference,US/Global,1969,Billboard Hot 100 archive,9,billboard_hot100_bulk_backfill,low
42008,2026.7.29,Sooner Or Later,The Grass Roots,Hot 100 Pop Reference,US/Global,1971,Billboard Hot 100 archive,9,billboard_hot100_bulk_backfill,low
